Variables	Residual_df	Residual_deviance	AIC
Generic_Host+PhG+Source_Niche+Acq_Resist	1189	1432.7971818302	1454.7971818302
Generic_Host+PhG+Source_Niche	1190	1439.12474890038	1459.12474890038
Generic_Host+PhG+Source_Niche+Sampling_Year	1189	1437.89880617347	1459.89880617347
Generic_Host+PhG+Acq_Resist	1190	1440.60321762937	1460.60321762937
Generic_Host+PhG+Acq_Resist+Sampling_Year	1189	1439.43270994383	1461.43270994383
Generic_Host+PhG	1191	1444.81366334899	1462.81366334899
Generic_Host+PhG+Sampling_Year	1190	1443.70507547834	1463.70507547834
PhG+Source_Niche+Acq_Resist	1191	1451.87534213241	1469.87534213241
PhG+Source_Niche+Acq_Resist+Sampling_Year	1190	1449.96663626361	1469.96663626361
PhG+Source_Niche+Sampling_Year	1191	1463.60216079278	1481.60216079278
PhG+Source_Niche	1192	1465.78657920961	1481.78657920961
Generic_Host+Source_Niche+Acq_Resist+Sampling_Year	1194	1476.18454897729	1488.18454897729
Generic_Host+Source_Niche+Acq_Resist	1195	1479.80495108443	1489.80495108443
Generic_Host+Acq_Resist+Sampling_Year	1195	1479.95934670022	1489.95934670022
Generic_Host+Acq_Resist	1196	1483.11804538566	1491.11804538566
Generic_Host+Source_Niche+Sampling_Year	1195	1483.95119508629	1493.95119508629
Generic_Host+Sampling_Year	1196	1486.29109970283	1494.29109970283
Generic_Host+Source_Niche	1196	1487.44228328951	1495.44228328951
Generic_Host	1197	1489.45355748597	1495.45355748597
PhG+Acq_Resist	1192	1501.33944270435	1517.33944270435
PhG+Acq_Resist+Sampling_Year	1191	1501.21106803286	1519.21106803286
PhG	1193	1510.37333927841	1524.37333927841
Source_Niche+Acq_Resist+Sampling_Year	1196	1517.08704533439	1525.08704533439
PhG+Sampling_Year	1192	1510.09695606016	1526.09695606016
Source_Niche+Acq_Resist	1197	1523.72742772187	1529.72742772187
Source_Niche+Sampling_Year	1197	1536.69617382941	1542.69617382941
Source_Niche	1198	1544.97809935551	1548.97809935551
Acq_Resist+Sampling_Year	1197	1575.36001413058	1581.36001413058
Acq_Resist	1198	1577.81642809506	1581.81642809506
Sampling_Year	1198	1590.83953461237	1594.83953461237
