Variables	Residual_df	Residual_deviance	AIC
Generic_Host	1157	1460.8304495799	1466.8304495799
PhG	1153	1479.51352591168	1493.51352591168
Source_Niche	1158	1498.69882000958	1502.69882000958
Acq_Resist	1158	1530.10181668735	1534.10181668735
Generic_Host+PhG	1151	1422.80030966844	1440.80030966844
Generic_Host+Source_Niche	1156	1457.46965594623	1465.46965594623
Generic_Host+Acq_Resist	1156	1453.03238923732	1461.03238923732
PhG+Source_Niche	1152	1438.36800388564	1454.36800388564
PhG+Acq_Resist	1152	1469.56697598508	1485.56697598508
Source_Niche+Acq_Resist	1157	1474.90078529077	1480.90078529077
Generic_Host+PhG+Source_Niche	1150	1416.56602889176	1436.56602889176
Generic_Host+PhG+Acq_Resist	1150	1417.80032330152	1437.80032330152
Generic_Host+Source_Niche+Acq_Resist	1155	1447.42408010095	1457.42408010095
PhG+Source_Niche+Acq_Resist	1151	1423.25627726453	1441.25627726453
Generic_Host+PhG+Source_Niche+Acq_Resist	1149	1409.063489698	1431.063489698
