Cluster	Genome
Cluster_1	SAMN02442780
Cluster_1	SAMN02442783
Cluster_1	SAMN02442784
Cluster_10	SAMN04510561
Cluster_10	SAMN04510562
Cluster_11	SAMN04942837
Cluster_11	SAMN04942838
Cluster_12	SAMN05605369
Cluster_12	SAMN05605374
Cluster_13	SAMN05605422
Cluster_13	SAMN05605423
Cluster_14	SAMN05655883
Cluster_14	SAMN05789714
Cluster_15	SAMN05757735
Cluster_15	SAMN05757738
Cluster_15	SAMN05757740
Cluster_15	SAMN05757741
Cluster_16	SAMN05859955
Cluster_16	SAMN05859956
Cluster_16	SAMN05859962
Cluster_17	SAMN06005883
Cluster_17	SAMN06005888
Cluster_18	SAMN07781715
Cluster_18	SAMN07781717
Cluster_19	SAMN10221466
Cluster_19	SAMN10221611
Cluster_2	SAMN02442781
Cluster_2	SAMN02442786
Cluster_20	SAMN10221467
Cluster_20	SAMN10221612
Cluster_3	SAMN02442788
Cluster_3	SAMN02442796
Cluster_4	SAMN02442800
Cluster_4	SAMN02442801
Cluster_4	SAMN02442806
Cluster_5	SAMN02442837
Cluster_5	SAMN02442846
Cluster_5	SAMN02442847
Cluster_6	SAMN02628576
Cluster_6	SAMN02628578
Cluster_7	SAMN03295428
Cluster_7	SAMN03295463
Cluster_8	SAMN04422386
Cluster_8	SAMN04422389
Cluster_8	SAMN04422390
Cluster_8	SAMN04422393
Cluster_8	SAMN04422400
Cluster_8	SAMN04422406
Cluster_8	SAMN04422416
Cluster_8	SAMN04422419
Cluster_8	SAMN04422420
Cluster_8	SAMN04422423
Cluster_8	SAMN04422425
Cluster_8	SAMN04422437
Cluster_8	SAMN04422439
Cluster_8	SAMN04429906
Cluster_9	SAMN04510378
Cluster_9	SAMN04510388
Cluster_9	SAMN04510394
Cluster_9	SAMN04510419
