target_genome	target	n_hits_contig	median_pid	median_cov	contig_seq_len	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	genome_contig
1	SAMN02442768	contig_103	6	98.6205	77.4135	2605	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_103
2	SAMN02442768	contig_128	5	98.864	100	2080	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_128
3	SAMN02442768	contig_13	1	100	37.267	542	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_13
4	SAMN02442768	contig_146	2	98.67	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_146
5	SAMN02442768	contig_147	3	95.192	100	1314	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_147
6	SAMN02442768	contig_151	4	98.969	100	2305	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_151
7	SAMN02442768	contig_3	2	97.6235	99.395	2447	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_3
8	SAMN02442768	contig_35	4	99.296	100	3662	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_35
9	SAMN02442768	contig_52	3	99.425	58.98	2315	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_52
10	SAMN02442768	contig_55	2	97.092	97.671	1480	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_55
11	SAMN02442768	contig_6	4	98.668	100	8589	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_6
12	SAMN02442768	contig_64	16	99.0155	100	13155	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_64
13	SAMN02442768	contig_82	2	98.872	69.7715	1493	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_82
14	SAMN02442768	contig_98	2	91.4285	54.8305	2342	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442768_contig_98
15	SAMN02442769	contig_105	5	98.864	100	2080	2013-02-01	35.2	-111.5	Poultry	Food	Turkey	B1	3580	NA	9	Yes	2013	SAMN02442769_contig_105
