new_protein_ids	accession_id	protein_id	gene	seq_len	protein_des	ReplacedBy	Organism_old	Title_old	SubType	SubName	Organism_new	Title_new	Status	gene_name	Plasmid	GenBank.Number	Host	Protein	query_protein_len
WP_000139321.1	NC_002134	NP_052984.1	fino	561	fertility inhibition protein	WP_000139321.1	Shigella flexneri 2b	fertility inhibition protein (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: fertility inhibition protein FinO [Enterobacteriaceae]	NA	fino	R100	NC_002134	Shigella flexneri	FinO	186
WP_001098992.1	NC_002134	NP_052947.1	traa	360	prepropilin	WP_001098992.1	Shigella flexneri 2b	prepropilin (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system pilin TraA [Enterobacteriaceae]	NA	traa	F	NC_002483	Escherichia coli	TraA	119
WP_000146675.1	NC_002134	NP_052951.1	trab	1452	hypothetical protein	WP_000146675.1	Shigella flexneri 2b	traB (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: F-type conjugal transfer pilus assembly protein TraB [Gammaproteobacteria]	NA	trab	R100	NC_002134	Shigella flexneri	TraB	483
WP_000069777.1	NC_002134	NP_052960.1	trac	2631	hypothetical protein	WP_000069777.1	Shigella flexneri 2b	traC (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type IV secretion system protein TraC [Enterobacteriaceae]	NA	trac	R100	NC_002134	Shigella flexneri	TraC	876
WP_000009331.1	NC_002134	NP_052980.1	trad	2217	hypothetical protein	WP_000009331.1	Shigella flexneri 2b	traD (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type IV conjugative transfer system coupling protein TraD [Enterobacteriaceae]	NA	trad	R100	NC_002134	Shigella flexneri	TraD	738
WP_000399780.1	NC_002134	NP_052949.1	trae	567	hypothetical protein	WP_000399780.1	Shigella flexneri 2b	traE (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Gammaproteobacteria	MULTISPECIES: type IV conjugative transfer system protein TraE [Gammaproteobacteria]	NA	trae	R100	NC_002134	Shigella flexneri	TraE	188
WP_010891342.1	NC_002134	NP_052969.1	traf	762	hypothetical protein	WP_010891342.1	Shigella flexneri 2b	traF (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: type-F conjugative transfer system pilin assembly protein TraF [Enterobacteriaceae]	suppressed	traf	R100	NC_002134	Shigella flexneri	TraF	253
WP_001007039.1	NC_002134	NP_052976.1	trag	2823	hypothetical protein	WP_001007039.1	Shigella flexneri 2b	traG (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: conjugal transfer mating-pair stabilization protein TraG [Enterobacteriaceae]	NA	trag	R100	NC_002134	Shigella flexneri	TraG	940
WP_001309243.1	NC_002134	NP_052975.1	trah	1383	hypothetical protein	WP_001309243.1	Shigella flexneri 2b	traH (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Klebsiella	MULTISPECIES: conjugal transfer pilus assembly protein TraH [Klebsiella]	NA	trah	R100	NC_002134	Shigella flexneri	TraH	460
WP_000948354.1	NC_002134	NP_052981.1	trai	5271	DNA helicase I	WP_000948354.1	Shigella flexneri 2b	DNA helicase I (plasmid) [Shigella flexneri 2b]	plasmid|note|strain|serotype	R100|Plasmid R100 is also referred to as NR1 or R222|222|2b	Enterobacteriaceae	MULTISPECIES: conjugative transfer relaxase/helicase TraI [Enterobacteriaceae]	NA	trai	NA	NA	NA	NA	1756
