target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome	mean_n_hits.blast	n_hits_genome_category	bakta.n_hits_genome	has_tra_hit	n.multihit.genes	bakta.n_distinct_hits	bakta.n_hits_genome_category	is.functional	n.distinct.func.genes	n.func.genes	is.functional.noreg	n.distinct.func.genes.noreg	n.func.genes.noreg	n.distinct.MPF_GENES	has_mandatory	has_relaxase	is.functional.coluzzi.3	is.functional.coluzzi.6	is.functional.coluzzi.12	mob_classification_coluzzi	mob_classification	functional_category	n_MPF_types	n_relaxase_types	n_virb4_types	n_t4cp_types	MOBC.n_genes	MOBF.n_genes	MOBH.n_genes	MOBP1.n_genes	virb4.n_genes	MPF_F.n_genes	MPF_I.n_genes	MPF_T.n_genes	MOBQ.n_genes	MPF_G.n_genes	MOBV.n_genes	MOBC.n_distinct_genes	MOBF.n_distinct_genes	MOBH.n_distinct_genes	MOBP1.n_distinct_genes	virb4.n_distinct_genes	MPF_F.n_distinct_genes	MPF_I.n_distinct_genes	MPF_T.n_distinct_genes	MOBQ.n_distinct_genes	MPF_G.n_distinct_genes	MOBV.n_distinct_genes	n.nonF_relaxase_types	n.nonF_MPF_types	n.replicons	n.incF.replicons	has.incF_replicon
SAMN03295463	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	2040	NA	5	No	2014	2	37	98.864	100	1.02777777777778	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	3	1	0	NA	1	NA	2	1	13	NA	3	1	NA	NA	NA	1	NA	1	1	10	NA	3	1	NA	NA	2	1	5	2	TRUE
SAMN03295461	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	635	ST399 Cplx	6	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	3	2	1	0	NA	NA	1	1	1	10	12	1	NA	NA	NA	NA	NA	1	1	1	8	12	1	NA	NA	NA	2	2	6	2	TRUE
SAMN03295450	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	101	ST101 Cplx	4	Yes	2014	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	2	1	11	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	4	3	TRUE
SAMN03295444	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	569	NA	3	Yes	2014	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	2	1	0	NA	1	NA	NA	1	11	NA	NA	1	NA	NA	NA	1	NA	NA	1	10	NA	NA	1	NA	NA	1	0	4	3	TRUE
SAMN03295426	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	93	ST168 Cplx	4	Yes	2014	30	78	98.5635	89.5665	2.16666666666667	[40,110]	52	1	22	30	[36,84]	FALSE	20	35	FALSE	17	29	11	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	2	2	1	0	NA	3	NA	2	3	26	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	5	4	TRUE
SAMN03295445	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	10	ST10 Cplx	4	Yes	2014	1	28	99.305	100	0.777777777777778	[5,30)	27	1	0	27	[23,36)	FALSE	19	19	FALSE	16	16	9	TRUE	1	TRUE	TRUE	FALSE	conj	mob	incomplete	2	1	1	0	NA	1	NA	NA	1	8	NA	3	NA	NA	NA	NA	1	NA	NA	1	8	NA	2	NA	NA	NA	0	1	4	2	TRUE
SAMN03295437	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	155	ST155 Cplx	4	Yes	2014	1	35	98.936	100	0.972222222222222	[30,40)	35	1	0	35	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	12	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	5	3	TRUE
SAMN03295429	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	297	NA	2	No	2014	1	32	99.1525	100	0.888888888888889	[30,40)	31	1	0	31	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	2	2	TRUE
SAMN03295431	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	399	ST399 Cplx	5	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	2	3	1	0	1	NA	1	1	3	12	NA	13	NA	NA	NA	1	NA	1	1	1	9	NA	8	NA	NA	NA	3	1	6	2	TRUE
SAMN03295428	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	2040	NA	5	No	2014	2	37	98.864	100	1.02777777777778	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	3	1	0	NA	1	NA	2	1	12	NA	3	1	NA	NA	NA	1	NA	1	1	10	NA	3	1	NA	NA	2	1	5	2	TRUE
SAMN03295439	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	5506	NA	4	Yes	2014	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	1	1	11	15	NA	NA	NA	NA	NA	1	NA	1	1	10	15	NA	NA	NA	NA	1	1	10	3	TRUE
SAMN03295433	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	F	4045	NA	6	No	2014	2	36	98.169	100	1	[30,40)	35	1	1	34	[23,36)	TRUE	23	24	TRUE	20	21	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	2	1	0	NA	1	NA	NA	1	13	NA	NA	1	3	NA	NA	1	NA	NA	1	10	NA	NA	1	3	NA	1	1	15	2	TRUE
SAMN03295442	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	5308	NA	0	No	2014	0	0	0	0	0	[0,5)	0	0	0	0	[0,5)	FALSE	0	0	FALSE	0	0	0	FALSE	0	FALSE	FALSE	FALSE	no.transfer.gene	no.transfer.gene	missing	1	1	1	0	NA	NA	NA	1	1	NA	NA	5	NA	NA	NA	NA	NA	NA	1	1	NA	NA	5	NA	NA	NA	1	1	1	0	FALSE
SAMN03295432	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	135	NA	3	No	2014	1	35	98.936	100	0.972222222222222	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	2	1	1	0	NA	1	NA	NA	2	11	NA	7	NA	NA	NA	NA	1	NA	NA	1	10	NA	6	NA	NA	NA	0	1	4	3	TRUE
SAMN03295424	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	491	NA	1	No	2014	1	36	99.339	100	1	[30,40)	34	1	0	34	[23,36)	TRUE	23	23	TRUE	20	20	12	TRUE	1	TRUE	TRUE	TRUE	conj	conj	complete	1	1	1	0	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	NA	1	NA	NA	1	10	NA	NA	NA	NA	NA	0	0	2	2	TRUE
