genome	n_genes	n_distinct_genes	conj_category	type
SAMN02442768	1	1	relaxase_type	MOBC
SAMN02442768	1	1	relaxase_type	MOBF
SAMN02442768	1	1	relaxase_type	MOBH
SAMN02442768	1	1	relaxase_type	MOBP1
SAMN02442768	5	1	virb4	virb4
SAMN02442768	27	12	MPF_type	MPF_F
SAMN02442768	15	15	MPF_type	MPF_I
SAMN02442768	10	6	MPF_type	MPF_T
SAMN02442769	1	1	relaxase_type	MOBC
SAMN02442769	1	1	relaxase_type	MOBF
SAMN02442769	1	1	relaxase_type	MOBH
SAMN02442769	1	1	relaxase_type	MOBP1
SAMN02442769	4	1	virb4	virb4
SAMN02442769	27	12	MPF_type	MPF_F
SAMN02442769	15	15	MPF_type	MPF_I
SAMN02442769	10	6	MPF_type	MPF_T
SAMN02442771	1	1	relaxase_type	MOBF
SAMN02442771	1	1	relaxase_type	MOBH
SAMN02442771	1	1	relaxase_type	MOBP1
SAMN02442771	2	1	virb4	virb4
SAMN02442771	27	12	MPF_type	MPF_F
SAMN02442771	15	15	MPF_type	MPF_I
SAMN02442772	1	1	relaxase_type	MOBF
SAMN02442772	1	1	relaxase_type	MOBH
SAMN02442772	1	1	relaxase_type	MOBP1
SAMN02442772	2	1	virb4	virb4
SAMN02442772	27	12	MPF_type	MPF_F
SAMN02442772	15	15	MPF_type	MPF_I
SAMN02442773	1	1	relaxase_type	MOBF
SAMN02442773	1	1	virb4	virb4
SAMN02442773	10	10	MPF_type	MPF_F
SAMN02442773	1	1	MPF_type	MPF_T
SAMN02442775	1	1	relaxase_type	MOBF
SAMN02442775	1	1	virb4	virb4
SAMN02442775	10	10	MPF_type	MPF_F
SAMN02442775	1	1	MPF_type	MPF_T
SAMN02442780	1	1	relaxase_type	MOBF
SAMN02442780	1	1	relaxase_type	MOBP1
SAMN02442780	1	1	virb4	virb4
SAMN02442780	11	10	MPF_type	MPF_F
SAMN02442780	15	15	MPF_type	MPF_I
SAMN02442781	1	1	relaxase_type	MOBF
SAMN02442781	1	1	relaxase_type	MOBP1
SAMN02442781	1	1	virb4	virb4
SAMN02442781	11	10	MPF_type	MPF_F
SAMN02442781	15	15	MPF_type	MPF_I
SAMN02442783	1	1	relaxase_type	MOBF
SAMN02442783	1	1	relaxase_type	MOBP1
SAMN02442783	1	1	virb4	virb4
SAMN02442783	11	10	MPF_type	MPF_F
SAMN02442783	15	15	MPF_type	MPF_I
SAMN02442784	1	1	relaxase_type	MOBF
SAMN02442784	1	1	relaxase_type	MOBP1
SAMN02442784	1	1	virb4	virb4
SAMN02442784	11	10	MPF_type	MPF_F
SAMN02442784	15	15	MPF_type	MPF_I
SAMN02442786	1	1	relaxase_type	MOBF
SAMN02442786	2	1	relaxase_type	MOBP1
SAMN02442786	1	1	virb4	virb4
SAMN02442786	11	10	MPF_type	MPF_F
SAMN02442786	15	15	MPF_type	MPF_I
SAMN02442788	1	1	relaxase_type	MOBF
SAMN02442788	1	1	relaxase_type	MOBP1
SAMN02442788	1	1	virb4	virb4
SAMN02442788	11	10	MPF_type	MPF_F
SAMN02442788	15	15	MPF_type	MPF_I
SAMN02442789	1	1	relaxase_type	MOBF
SAMN02442789	1	1	relaxase_type	MOBH
SAMN02442789	1	1	relaxase_type	MOBP1
SAMN02442789	1	1	virb4	virb4
SAMN02442789	10	10	MPF_type	MPF_F
SAMN02442791	1	1	relaxase_type	MOBF
SAMN02442791	1	1	relaxase_type	MOBP1
SAMN02442791	1	1	relaxase_type	MOBQ
SAMN02442791	2	1	virb4	virb4
SAMN02442791	10	10	MPF_type	MPF_F
SAMN02442791	15	15	MPF_type	MPF_I
SAMN02442791	5	5	MPF_type	MPF_T
SAMN02442792	1	1	relaxase_type	MOBF
SAMN02442792	1	1	relaxase_type	MOBH
SAMN02442792	2	1	relaxase_type	MOBP1
SAMN02442792	2	1	virb4	virb4
SAMN02442792	21	12	MPF_type	MPF_F
SAMN02442792	15	15	MPF_type	MPF_I
SAMN02442795	1	1	relaxase_type	MOBF
SAMN02442795	2	1	relaxase_type	MOBP1
SAMN02442795	1	1	virb4	virb4
SAMN02442795	10	10	MPF_type	MPF_F
SAMN02442795	15	15	MPF_type	MPF_I
SAMN02442796	1	1	relaxase_type	MOBF
SAMN02442796	1	1	relaxase_type	MOBP1
SAMN02442796	1	1	virb4	virb4
SAMN02442796	11	10	MPF_type	MPF_F
SAMN02442796	15	15	MPF_type	MPF_I
SAMN02442797	1	1	relaxase_type	MOBP1
SAMN02442797	1	1	MPF_type	MPF_F
SAMN02442797	1	1	MPF_type	MPF_T
SAMN02442800	1	1	relaxase_type	MOBF
SAMN02442800	2	1	relaxase_type	MOBP1
SAMN02442800	2	1	virb4	virb4
SAMN02442800	11	10	MPF_type	MPF_F
SAMN02442800	7	6	MPF_type	MPF_T
SAMN02442801	1	1	relaxase_type	MOBF
SAMN02442801	2	1	relaxase_type	MOBP1
SAMN02442801	2	1	virb4	virb4
SAMN02442801	11	10	MPF_type	MPF_F
SAMN02442801	7	6	MPF_type	MPF_T
SAMN02442806	1	1	relaxase_type	MOBF
SAMN02442806	2	1	relaxase_type	MOBP1
SAMN02442806	2	1	virb4	virb4
SAMN02442806	11	10	MPF_type	MPF_F
SAMN02442806	7	6	MPF_type	MPF_T
SAMN02442807	2	1	relaxase_type	MOBF
SAMN02442807	1	1	relaxase_type	MOBH
SAMN02442807	3	1	virb4	virb4
SAMN02442807	30	12	MPF_type	MPF_F
SAMN02442808	1	1	relaxase_type	MOBF
SAMN02442808	2	1	relaxase_type	MOBP1
SAMN02442808	1	1	virb4	virb4
SAMN02442808	10	10	MPF_type	MPF_F
SAMN02442809	2	1	relaxase_type	MOBF
SAMN02442809	1	1	relaxase_type	MOBH
SAMN02442809	3	1	virb4	virb4
SAMN02442809	30	12	MPF_type	MPF_F
SAMN02442810	1	1	relaxase_type	MOBF
SAMN02442810	1	1	relaxase_type	MOBP1
SAMN02442810	1	1	virb4	virb4
SAMN02442810	11	11	MPF_type	MPF_F
SAMN02442810	3	2	MPF_type	MPF_T
SAMN02442811	3	1	relaxase_type	MOBF
SAMN02442811	3	1	virb4	virb4
SAMN02442811	20	11	MPF_type	MPF_F
SAMN02442812	1	1	relaxase_type	MOBF
SAMN02442812	1	1	relaxase_type	MOBP1
SAMN02442812	1	1	virb4	virb4
SAMN02442812	11	10	MPF_type	MPF_F
SAMN02442812	1	1	MPF_type	MPF_T
SAMN02442813	1	1	relaxase_type	MOBF
SAMN02442813	3	1	relaxase_type	MOBP1
SAMN02442813	4	1	virb4	virb4
SAMN02442813	13	11	MPF_type	MPF_F
SAMN02442813	15	15	MPF_type	MPF_I
SAMN02442813	14	7	MPF_type	MPF_T
SAMN02442816	1	1	relaxase_type	MOBF
SAMN02442816	1	1	relaxase_type	MOBP1
SAMN02442816	1	1	virb4	virb4
SAMN02442816	10	10	MPF_type	MPF_F
SAMN02442824	1	1	relaxase_type	MOBF
SAMN02442824	1	1	relaxase_type	MOBP1
SAMN02442824	1	1	virb4	virb4
SAMN02442824	12	10	MPF_type	MPF_F
SAMN02442824	15	15	MPF_type	MPF_I
SAMN02442826	1	1	relaxase_type	MOBF
SAMN02442826	3	1	relaxase_type	MOBP1
SAMN02442826	1	1	virb4	virb4
SAMN02442826	11	10	MPF_type	MPF_F
SAMN02442826	15	15	MPF_type	MPF_I
SAMN02442826	3	3	MPF_type	MPF_T
SAMN02442827	1	1	relaxase_type	MOBF
SAMN02442827	3	1	relaxase_type	MOBP1
SAMN02442827	1	1	virb4	virb4
SAMN02442827	11	10	MPF_type	MPF_F
SAMN02442827	15	15	MPF_type	MPF_I
SAMN02442827	3	3	MPF_type	MPF_T
SAMN02442830	1	1	relaxase_type	MOBF
SAMN02442830	1	1	virb4	virb4
SAMN02442830	11	10	MPF_type	MPF_F
SAMN02442835	1	1	relaxase_type	MOBF
SAMN02442835	1	1	virb4	virb4
SAMN02442835	10	10	MPF_type	MPF_F
SAMN02442835	1	1	MPF_type	MPF_T
SAMN02442836	1	1	relaxase_type	MOBC
SAMN02442836	1	1	relaxase_type	MOBH
SAMN02442836	1	1	relaxase_type	MOBP1
SAMN02442836	1	1	virb4	virb4
SAMN02442836	3	3	MPF_type	MPF_F
SAMN02442836	4	3	MPF_type	MPF_T
SAMN02442837	1	1	relaxase_type	MOBP1
SAMN02442837	1	1	virb4	virb4
SAMN02442837	6	6	MPF_type	MPF_T
SAMN02442840	1	1	relaxase_type	MOBF
SAMN02442840	2	1	virb4	virb4
SAMN02442840	10	10	MPF_type	MPF_F
SAMN02442840	1	1	MPF_type	MPF_T
SAMN02442841	1	1	relaxase_type	MOBF
SAMN02442841	1	1	relaxase_type	MOBP1
SAMN02442841	1	1	virb4	virb4
SAMN02442841	10	10	MPF_type	MPF_F
SAMN02442843	1	1	virb4	virb4
SAMN02442843	6	6	MPF_type	MPF_T
SAMN02442844	1	1	relaxase_type	MOBF
SAMN02442844	2	1	virb4	virb4
SAMN02442844	11	10	MPF_type	MPF_F
