genome	seq_name	length	topology	conjugation_genes	relaxase_type	virb4	t4cp	MPF_type
SAMN02442768	contig_64	13155	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	F_traN	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442768	contig_64	13155	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442768	contig_64	13155	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442768	contig_103	2605	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442768	contig_103	2605	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442768	contig_103	2605	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442768	contig_103	2605	No terminal repeats	F_traL	NA	NA	NA	MPF_F
SAMN02442768	contig_15	29051	No terminal repeats	I_traE	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traI	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traK	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traL	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traN	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traO	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traP	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traQ	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traR	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traT	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	traU	NA	NA	NA	NA
SAMN02442768	contig_15	29051	No terminal repeats	I_traV	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traW	NA	NA	NA	MPF_I
SAMN02442768	contig_15	29051	No terminal repeats	I_traY	NA	NA	NA	MPF_I
SAMN02442768	contig_48	13952	No terminal repeats	MOBP1	MOBP1	NA	NA	NA
SAMN02442768	contig_48	13952	No terminal repeats	I_trbB	NA	NA	NA	MPF_I
SAMN02442768	contig_48	13952	No terminal repeats	I_trbA	NA	NA	NA	MPF_I
SAMN02442768	contig_128	2080	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442768	contig_133	80762	No terminal repeats	t4cp1	NA	NA	NA	NA
SAMN02442768	contig_133	80762	No terminal repeats	MOBH	MOBH	NA	NA	NA
SAMN02442768	contig_133	80762	No terminal repeats	F_traF	NA	NA	NA	MPF_F
SAMN02442768	contig_133	80762	No terminal repeats	F_traH	NA	NA	NA	MPF_F
SAMN02442768	contig_133	80762	No terminal repeats	F_traG	NA	NA	NA	MPF_F
SAMN02442768	contig_89	34899	No terminal repeats	T_virB1	NA	NA	NA	MPF_T
SAMN02442768	contig_89	34899	No terminal repeats	T_virB2	NA	NA	NA	MPF_T
SAMN02442768	contig_89	34899	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442768	contig_89	34899	No terminal repeats	T_virB6	NA	NA	NA	MPF_T
SAMN02442768	contig_89	34899	No terminal repeats	T_virB8	NA	NA	NA	MPF_T
SAMN02442768	contig_89	34899	No terminal repeats	T_virB9	NA	NA	NA	MPF_T
SAMN02442768	contig_89	34899	No terminal repeats	T_virB11	NA	NA	NA	MPF_T
SAMN02442768	contig_23	35095	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442768	contig_23	35095	No terminal repeats	F_traK	NA	NA	NA	MPF_F
SAMN02442768	contig_23	35095	No terminal repeats	F_traB	NA	NA	NA	MPF_F
SAMN02442768	contig_23	35095	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442768	contig_23	35095	No terminal repeats	virb4	NA	virb4	NA	NA
SAMN02442768	contig_161	65438	No terminal repeats	F_traW	NA	NA	NA	MPF_F
SAMN02442768	contig_161	65438	No terminal repeats	F_traU	NA	NA	NA	MPF_F
SAMN02442768	contig_161	65438	No terminal repeats	F_trbC	NA	NA	NA	MPF_F
SAMN02442768	contig_147	1314	No terminal repeats	F_traV	NA	NA	NA	MPF_F
SAMN02442768	contig_6	8589	No terminal repeats	MOBF	MOBF	NA	NA	NA
SAMN02442768	contig_116	10225	No terminal repeats	F_traE	NA	NA	NA	MPF_F
SAMN02442768	contig_180	24540	DTR	virb4	NA	virb4	NA	NA
SAMN02442768	contig_180	24540	DTR	T_virB6	NA	NA	NA	MPF_T
SAMN02442768	contig_180	24540	DTR	T_virB8	NA	NA	NA	MPF_T
