target_genome	Collection_Date	Latitude	Longitude	Generic_Host	Source_Niche	Source_Type	PhG	ST	CC	Number_Inc	Acq_Resist	Year	n_contigs_genome	n_hits_genome	median_pid_genome	median_cov_genome
1	SAMN03295463	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	2040	NA	5	No	2014	2	37	98.864	100
2	SAMN03295461	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	635	ST399 Cplx	6	No	2014	0	0	0	0
3	SAMN03295450	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	101	ST101 Cplx	4	Yes	2014	1	35	98.936	100
4	SAMN03295444	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	569	NA	3	Yes	2014	1	35	98.936	100
5	SAMN03295426	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	93	ST168 Cplx	4	Yes	2014	30	78	98.5635	89.5665
6	SAMN03295445	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	10	ST10 Cplx	4	Yes	2014	1	28	99.305	100
7	SAMN03295437	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	155	ST155 Cplx	4	Yes	2014	1	35	98.936	100
8	SAMN03295429	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	297	NA	2	No	2014	1	32	99.1525	100
9	SAMN03295431	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	399	ST399 Cplx	5	No	2014	0	0	0	0
10	SAMN03295428	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	2040	NA	5	No	2014	2	37	98.864	100
11	SAMN03295439	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	5506	NA	4	Yes	2014	1	35	98.936	100
12	SAMN03295433	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	F	4045	NA	6	No	2014	2	36	98.169	100
13	SAMN03295442	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	5308	NA	0	No	2014	0	0	0	0
14	SAMN03295432	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	135	NA	3	No	2014	1	35	98.936	100
15	SAMN03295424	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B2	491	NA	1	No	2014	1	36	99.339	100
16	SAMN03295423	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	A	10	ST10 Cplx	5	Yes	2014	0	0	0	0
17	SAMN03295421	2014-11-01	38.9	-76.9	Poultry	Food	Chicken	B1	3580	NA	3	Yes	2014	1	36	98.4245	100
