Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SAMN02442768	100.0	0.44	Neural Network (Specific Model)	11	0.874	167578	300.7112380952381	5406863	0.5	5250	189	353569	None
SAMN02442769	100.0	0.44	Neural Network (Specific Model)	11	0.875	166321	299.9887875332573	5404821	0.5	5262	195	353569	None
SAMN02442771	100.0	0.25	Neural Network (Specific Model)	11	0.875	166310	301.02370398920795	5345901	0.5	5189	204	353569	None
SAMN02442772	100.0	0.25	Neural Network (Specific Model)	11	0.875	166321	301.3882239382239	5342130	0.5	5180	197	353569	None
SAMN02442773	100.0	0.11	Neural Network (Specific Model)	11	0.876	91459	300.4998985183682	5062726	0.51	4927	219	291602	None
SAMN02442775	100.0	0.12	Neural Network (Specific Model)	11	0.876	95608	299.8795864585445	5059546	0.51	4933	224	291602	None
SAMN02442780	100.0	0.18	Neural Network (Specific Model)	11	0.876	143177	308.18894938495663	5225056	0.51	4959	128	330683	None
SAMN02442781	100.0	0.18	Neural Network (Specific Model)	11	0.875	143177	307.7586623690572	5229556	0.51	4964	135	330683	None
SAMN02442783	100.0	0.18	Neural Network (Specific Model)	11	0.875	143177	308.57396569122096	5230389	0.51	4955	126	330683	None
SAMN02442784	100.0	0.18	Neural Network (Specific Model)	11	0.875	137443	307.7002214616469	5228610	0.51	4967	150	324693	None
SAMN02442786	100.0	0.18	Neural Network (Specific Model)	11	0.876	134788	308.36695582005245	5227189	0.51	4957	125	324693	None
SAMN02442788	100.0	0.25	Neural Network (Specific Model)	11	0.878	137807	302.2058312415524	5340879	0.5	5179	144	377052	None
SAMN02442789	100.0	0.12	Neural Network (Specific Model)	11	0.875	215088	304.22160264353573	5040156	0.51	4842	178	561343	None
SAMN02442791	100.0	1.08	Neural Network (Specific Model)	11	0.883	195198	310.74118573961	5353027	0.5	5077	136	457657	None
SAMN02442792	100.0	0.57	Neural Network (Specific Model)	11	0.877	189469	308.89611154752555	5368223	0.5	5092	142	682068	None
SAMN02442795	100.0	0.27	Neural Network (Specific Model)	11	0.88	135567	303.26631289308176	5252554	0.51	5088	139	455979	None
SAMN02442796	100.0	0.25	Neural Network (Specific Model)	11	0.877	137807	302.3480108149865	5343440	0.5	5178	143	383736	None
SAMN02442797	100.0	0.0	Neural Network (Specific Model)	11	0.875	73523	302.3259634888438	5103469	0.51	4930	282	206192	None
SAMN02442800	100.0	0.13	Neural Network (Specific Model)	11	0.876	76814	308.59200702678964	4802657	0.51	4554	144	242854	None
SAMN02442806	100.0	0.11	Neural Network (Specific Model)	11	0.876	85616	309.16596962359677	4802312	0.51	4543	145	181883	None
SAMN02442807	100.0	0.97	Neural Network (Specific Model)	11	0.876	177516	302.5979459870673	5441191	0.5	5258	191	422895	None
SAMN02442808	100.0	0.34	Neural Network (Specific Model)	11	0.875	66375	297.2236925015753	4840763	0.51	4761	215	203130	None
SAMN02442809	100.0	1.02	Neural Network (Specific Model)	11	0.876	185876	302.90807004187286	5443079	0.5	5254	186	477672	None
SAMN02442810	100.0	0.31	Neural Network (Specific Model)	11	0.874	104033	291.5870307167236	5265590	0.51	5274	205	348854	None
SAMN02442811	100.0	1.14	Neural Network (Specific Model)	11	0.881	405041	304.5162037037037	5364340	0.51	5184	135	806917	None
SAMN02442812	100.0	0.15	Neural Network (Specific Model)	11	0.876	116077	305.45040790038644	4862181	0.51	4658	180	308854	None
SAMN02442813	100.0	0.43	Neural Network (Specific Model)	11	0.874	188843	304.2020610224288	5156568	0.5	4949	150	359704	None
SAMN02442816	100.0	0.34	Neural Network (Specific Model)	11	0.874	69681	296.94649601342843	4846344	0.51	4766	267	203130	None
SAMN02442824	100.0	0.2	Neural Network (Specific Model)	11	0.881	195211	312.3501289426701	5350545	0.5	5041	127	731738	None
SAMN02442826	100.0	0.19	Neural Network (Specific Model)	11	0.878	72570	292.2159559834938	5069541	0.51	5089	218	275342	None
SAMN02442827	100.0	0.19	Neural Network (Specific Model)	11	0.877	69205	293.6340114556587	5072984	0.51	5063	234	300550	None
SAMN02442830	100.0	0.16	Neural Network (Specific Model)	11	0.876	151602	307.20209863588667	5004187	0.51	4765	101	589202	None
SAMN02442831	100.0	0.15	Neural Network (Specific Model)	11	0.883	258505	316.42989864864865	5082034	0.51	4736	95	974658	None
SAMN02442835	100.0	0.1	Neural Network (Specific Model)	11	0.874	113560	307.28361752644076	4879964	0.51	4633	154	269377	None
SAMN02442836	100.0	0.33	Neural Network (Specific Model)	11	0.877	54631	295.23088487972507	4692433	0.51	4656	223	175238	None
SAMN02442837	100.0	0.06	Neural Network (Specific Model)	11	0.881	150364	312.8921694480103	4974314	0.51	4674	129	669378	None
SAMN02442840	100.0	0.17	Neural Network (Specific Model)	11	0.878	140221	308.9533041484261	5056469	0.51	4797	172	318939	None
SAMN02442841	100.0	0.01	Neural Network (Specific Model)	11	0.877	124947	298.7377538829152	5124655	0.51	5022	176	622706	None
SAMN02442843	100.0	0.08	Neural Network (Specific Model)	11	0.882	151736	311.3303375712407	4821252	0.51	4562	111	637526	None
SAMN02442844	100.0	0.14	Neural Network (Specific Model)	11	0.879	158804	307.1056474124973	4873732	0.51	4657	131	438870	None
SAMN02442846	100.0	0.06	Neural Network (Specific Model)	11	0.881	150093	312.51324220418627	4974830	0.51	4682	126	668113	None
SAMN02442847	100.0	0.06	Neural Network (Specific Model)	11	0.881	151836	313.2601713062098	4975743	0.51	4670	129	669615	None
SAMN02442848	100.0	0.07	Neural Network (Specific Model)	11	0.88	168660	306.86885588788954	4992909	0.51	4781	106	392910	None
SAMN02442850	100.0	0.24	Neural Network (Specific Model)	11	0.872	84288	300.1614530776993	5108031	0.51	4955	270	280802	None
SAMN02442851	100.0	0.18	Neural Network (Specific Model)	11	0.872	83798	300.76751592356686	5191855	0.51	5024	337	245127	None
SAMN02442852	100.0	1.06	Neural Network (Specific Model)	11	0.873	110172	298.25306044376435	5350247	0.51	5228	338	445970	None
SAMN02442854	100.0	1.03	Neural Network (Specific Model)	11	0.882	124382	309.54305324459233	5055943	0.51	4808	151	457263	None
SAMN02442858	100.0	0.17	Neural Network (Specific Model)	11	0.875	169754	307.1201257861635	5012160	0.51	4770	147	421880	None
SAMN02442860	100.0	0.09	Neural Network (Specific Model)	11	0.878	186185	304.7911286963765	4995176	0.51	4802	155	506260	None
SAMN02442863	100.0	0.75	Neural Network (Specific Model)	11	0.879	106861	304.5968755953515	5448627	0.5	5249	212	412016	None
SAMN02442865	100.0	0.1	Neural Network (Specific Model)	11	0.874	97404	299.84424424424424	5131005	0.51	4995	218	290402	None
SAMN02442867	100.0	0.07	Neural Network (Specific Model)	11	0.875	88280	303.2260259847391	5034888	0.51	4849	178	312495	None
SAMN02628536	100.0	0.3	Neural Network (Specific Model)	11	0.876	231565	306.01143688916613	5030324	0.5	4809	127	371903	None
SAMN02628537	100.0	0.14	Neural Network (Specific Model)	11	0.872	106663	295.1970461768555	5421388	0.5	5349	206	285853	None
SAMN02628542	100.0	0.51	Neural Network (Specific Model)	11	0.875	155108	309.63691524760225	5413558	0.51	5109	165	352254	None
SAMN02628543	100.0	0.2	Neural Network (Specific Model)	11	0.872	217259	304.66807995154454	5180145	0.51	4953	173	465453	None
SAMN02628545	100.0	0.21	Neural Network (Specific Model)	11	0.88	216243	312.76999804420103	5444252	0.51	5113	116	686533	None
SAMN02628546	100.0	0.27	Neural Network (Specific Model)	11	0.874	203374	301.0215674947044	5357185	0.51	5193	197	584008	None
SAMN02628548	100.0	0.38	Neural Network (Specific Model)	11	0.874	158464	301.88812426268186	5258389	0.51	5086	214	354438	None
SAMN02628551	100.0	0.18	Neural Network (Specific Model)	11	0.872	129260	306.9984458259325	4746792	0.51	4504	146	285707	None
SAMN02628553	100.0	0.04	Neural Network (Specific Model)	11	0.872	101341	300.6792264752791	5181293	0.5	5016	160	340082	None
SAMN02628554	100.0	0.27	Neural Network (Specific Model)	11	0.877	138025	306.24902803355843	5112637	0.51	4887	123	337990	None
SAMN02628555	100.0	1.1	Neural Network (Specific Model)	11	0.877	402306	309.1020249221184	5421499	0.5	5136	100	718800	None
SAMN02628556	100.0	0.45	Neural Network (Specific Model)	11	0.875	124128	301.7206109822119	5343748	0.5	5172	217	652316	None
SAMN02628557	100.0	0.27	Neural Network (Specific Model)	11	0.875	119174	299.0790982796124	5175928	0.51	5057	192	364754	None
SAMN02628558	100.0	0.22	Neural Network (Specific Model)	11	0.877	152177	310.2660649043628	4932118	0.51	4653	123	369042	None
SAMN02628560	100.0	0.15	Neural Network (Specific Model)	11	0.876	163391	309.9900749889722	4807418	0.5	4534	166	478714	None
SAMN02628565	100.0	0.14	Neural Network (Specific Model)	11	0.878	205172	308.1626187961985	4975426	0.51	4735	108	418227	None
SAMN02628569	100.0	0.1	Neural Network (Specific Model)	11	0.877	218609	303.36901815181517	5025179	0.51	4848	186	431345	None
SAMN02628573	100.0	0.15	Neural Network (Specific Model)	11	0.875	149214	307.0971215572582	5075016	0.51	4829	151	345713	None
SAMN02628574	100.0	0.12	Neural Network (Specific Model)	11	0.882	215904	313.5486895376092	4998996	0.51	4693	61	788813	None
SAMN02628576	100.0	0.45	Neural Network (Specific Model)	11	0.874	162176	305.8694527363184	5267904	0.51	5025	135	648079	None
SAMN02628578	100.0	0.45	Neural Network (Specific Model)	11	0.873	158555	306.05636327424816	5269379	0.51	5021	142	332982	None
SAMN02628579	100.0	0.19	Neural Network (Specific Model)	11	0.88	198704	306.00310109572047	5036078	0.51	4837	127	436818	None
SAMN02628581	100.0	0.14	Neural Network (Specific Model)	11	0.875	149214	308.9775681341719	5043672	0.51	4770	108	345713	None
SAMN02628583	100.0	1.88	Neural Network (Specific Model)	11	0.883	408765	306.55350772889415	5244694	0.51	5046	144	724874	None
SAMN02628587	100.0	0.19	Neural Network (Specific Model)	11	0.875	102407	298.5572547556882	5478803	0.51	5362	232	407032	None
SAMN02628588	100.0	0.15	Neural Network (Specific Model)	11	0.877	175590	305.1900893582453	5131222	0.51	4924	151	429513	None
SAMN02628593	100.0	0.54	Neural Network (Specific Model)	11	0.875	112240	300.02178988326847	5276590	0.5	5140	201	274922	None
SAMN02628595	100.0	0.5	Neural Network (Specific Model)	11	0.878	92933	300.2609774723177	5362554	0.5	5238	171	280693	None
SAMN02628596	100.0	0.27	Neural Network (Specific Model)	11	0.873	152855	304.0467103955476	5249737	0.51	5031	176	323490	None
SAMN02628598	100.0	0.37	Neural Network (Specific Model)	11	0.873	173374	301.07647173870527	5282660	0.51	5113	216	486797	None
SAMN02628599	100.0	0.07	Neural Network (Specific Model)	11	0.873	89222	296.2837476885145	4949007	0.5	4867	257	358351	None
SAMN02628600	100.0	0.6	Neural Network (Specific Model)	11	0.882	365024	312.8600711148295	5077123	0.51	4781	70	677736	None
SAMN02628602	100.0	1.38	Neural Network (Specific Model)	11	0.879	249123	305.404873294347	5336264	0.51	5130	146	440351	None
SAMN02628604	100.0	0.27	Neural Network (Specific Model)	11	0.881	130945	301.69557692307694	5329973	0.51	5200	125	658194	None
SAMN02628607	100.0	0.04	Neural Network (Specific Model)	11	0.874	88697	297.49124532756247	5182141	0.51	5083	232	329161	None
SAMN02628611	100.0	0.01	Neural Network (Specific Model)	11	0.878	64764	293.3700930797248	4941837	0.51	4942	249	289629	None
SAMN02628613	100.0	0.09	Neural Network (Specific Model)	11	0.877	188053	308.7149377593361	5081006	0.51	4820	144	694072	None
SAMN02628616	100.0	0.16	Neural Network (Specific Model)	11	0.872	141563	301.47404912836765	5224694	0.51	5048	172	378837	None
SAMN02628618	100.0	0.17	Neural Network (Specific Model)	11	0.871	86759	297.65492148602067	5342532	0.5	5222	201	260803	None
SAMN02628619	100.0	1.28	Neural Network (Specific Model)	11	0.877	157131	302.65571174024944	5219200	0.51	5051	181	578236	None
SAMN02628627	100.0	0.13	Neural Network (Specific Model)	11	0.877	138673	306.9490196078431	5079484	0.51	4845	161	546489	None
SAMN02628629	100.0	0.21	Neural Network (Specific Model)	11	0.876	242712	308.1209627648632	5118049	0.51	4861	112	610706	None
SAMN02628630	100.0	0.26	Neural Network (Specific Model)	11	0.879	100855	301.1696809591546	5049861	0.51	4921	195	453615	None
SAMN02628631	100.0	0.19	Neural Network (Specific Model)	11	0.879	214358	308.5877174596521	5017177	0.51	4771	174	435096	None
SAMN02628635	100.0	0.22	Neural Network (Specific Model)	11	0.873	153928	306.06301260252053	5248338	0.51	4999	164	331546	None
SAMN02628640	100.0	0.22	Neural Network (Specific Model)	11	0.88	159411	316.0169675875571	4945106	0.51	4597	92	370539	None
SAMN02628645	100.0	0.09	Neural Network (Specific Model)	11	0.878	122192	309.0905628438426	4980614	0.51	4726	152	421744	None
SAMN02628647	100.0	0.54	Neural Network (Specific Model)	11	0.877	92774	303.5757637892147	5056250	0.51	4877	250	259540	None
SAMN02628650	100.0	0.41	Neural Network (Specific Model)	11	0.877	135919	306.7507110930516	5158114	0.51	4922	163	629574	None
SAMN02628651	100.0	0.12	Neural Network (Specific Model)	11	0.88	346203	311.6022892819979	5097786	0.51	4805	95	630145	None
SAMN02628657	100.0	0.25	Neural Network (Specific Model)	11	0.88	199516	314.3264717990943	5193702	0.51	4858	82	532165	None
SAMN02628660	100.0	0.78	Neural Network (Specific Model)	11	0.88	352506	306.34902597402595	5139043	0.51	4928	97	625677	None
SAMN02628664	100.0	0.83	Neural Network (Specific Model)	11	0.882	268023	306.1274409044193	5055707	0.5	4865	99	685286	None
SAMN02628665	100.0	0.41	Neural Network (Specific Model)	11	0.877	84255	297.09248090068354	5044417	0.51	4974	309	227937	None
SAMN02628666	100.0	0.14	Neural Network (Specific Model)	11	0.868	96915	299.324150412226	5135957	0.51	4973	216	367155	None
SAMN02628667	100.0	0.16	Neural Network (Specific Model)	11	0.878	185357	310.01075268817203	4916535	0.51	4650	146	342987	None
SAMN02628669	100.0	1.17	Neural Network (Specific Model)	11	0.885	383157	317.3670613562971	4990128	0.51	4645	52	789941	None
SAMN02628672	100.0	0.1	Neural Network (Specific Model)	11	0.879	56174	292.9388767612622	5031025	0.51	5039	262	224719	None
SAMN02628676	100.0	0.25	Neural Network (Specific Model)	11	0.879	80379	301.74340770791076	5066094	0.51	4930	156	264810	None
SAMN02628680	100.0	0.37	Neural Network (Specific Model)	11	0.871	82916	290.5524109014675	5716675	0.51	5724	411	593120	None
SAMN02628683	100.0	0.0	Neural Network (Specific Model)	11	0.882	172661	306.3119464672309	5286442	0.51	5081	194	605177	None
SAMN02628686	100.0	0.09	Neural Network (Specific Model)	11	0.88	116460	300.6134304844427	5193795	0.51	5078	186	348732	None
SAMN02628688	100.0	0.08	Neural Network (Specific Model)	11	0.875	217325	303.09403254972875	5163253	0.51	4977	158	400562	None
SAMN02628691	100.0	0.12	Neural Network (Specific Model)	11	0.878	181233	310.39662359316384	5081683	0.51	4798	138	323969	None
SAMN02628696	100.0	0.15	Neural Network (Specific Model)	11	0.877	82715	304.1589958158996	4961797	0.51	4780	213	280287	None
SAMN02628700	100.0	0.11	Neural Network (Specific Model)	11	0.876	80516	299.23073844306583	5112747	0.51	4997	294	279931	None
SAMN02628701	100.0	0.18	Neural Network (Specific Model)	11	0.879	88272	298.4779005524862	5151038	0.51	5068	228	210237	None
SAMN02628702	100.0	0.1	Neural Network (Specific Model)	11	0.88	156000	314.2695806523186	4818812	0.51	4507	129	440409	None
SAMN03295421	100.0	0.14	Neural Network (Specific Model)	11	0.88	192669	310.42303575251555	4934471	0.51	4671	97	388049	None
